"a","ه"
"ebhâr","ابحار"
"ebhâs","ابحاث"
"ebhire","ابخرة"
"ebhur","ابحر"
"ebî","ابی"
"ebkâr","ابكار"
"ebkem","ابکم"
"eblağ","ابلغ"
"eblak","ابلق"
"ebleh","ابله"
"eblehâne","ابلهانه"
"eblehî","ابلهی"
"ebna","ابنا"
"ebnâ","ابنا"
"ebnayi sebil","ابناى‌سبيل"
"ebniye","ابنيه"
"ebniyye","ابنيه"
"ebniyye-i hayriye","ابنيه‌خيريه"
"ebr","ابر"
"ebrâlûd","ابرآلود"
"ebrar","ابرار"
"ebrâr","ابرار"
"ebras","ابرص"
"ebred","ابرد"
"ebreş","ابرش"
"ebrişüm","ابریشم"
"ebru","ابرو"
"ebrû","ابرو"
"ebsar","ابصار"
"ebsâr","ابصار"
"ebtal","ابطال"
"ebu","ابو"
"ebusina","ابوسينا"
"ebülbeşer","ابوالبشر"
"ebvab","ابواب"
"ebvâb","ابواب"
"ebyad","ابيض"
"ebyat","ابيات"
"ebyât","ابيات"
"ebyaz","ابيض"
"ebyen","ابين"
"ecanib","اجانب"
"ecânib","اجانب"
"ecbal","اجبال"
"ecdad","اجداد"
"ecdâd","اجداد"
"ecel","اجل"
"ecell","اجل"
"echel","اجهل"
"echelüminkaragöz","اجهل من قره گوز"
"ecir","اجر"
"ecnâs","اجناس"
"ecnebi","اجنبى"
"ecnebî","اجنبی"
"ecr","اجر"
"ecrâm","اجرام"
"ecsâd","اجساد"
"ecsâm","اجسام"
"ecvef","اجوف"
"ecvibe","اجوبه"
"eczâ","اجزا"
"eczâhâne","اجزاخانه"
"edâ","ادا"
"edeb","ادب"
"edebî","ادبي"
"edevât","ادوات"
"edîb","ادیب"
"edîbe","ادیبه"
"edille","ادله"
"edîm","ادیم"
"ed'iye","ادعيه"
"ednâ","ادنی"
"edvâr","ادوار"
"edviye","ادویه"
"edyân","ادیان"
"edyâr","ادیار"
"ef'âl","افعال"
"efâzıl","افاضل"
"efdal","افضل"
"efgân","افغان"
"ef'î","افعی"
"efkâr","افکار"
"eflâk","افلاک"
"eflâtun","افلاطون"
"efrâd","افراد"
"efrenc","افرنج"
"efsâne","افسانه"
"efsâr","افسار"
"efsun","افسون"
"efsunger","افسونگر"
"efsûs","افسوس"
"efsürde","افسرده"
"efşüre","افشره"
"efvâc","افواج"
"efvâh","افواه"
"efyûn","افيون"
"efzâr","افزار"
"efzâyiş","افزایش"
"efzûn","افزون"
"eger","اگر"
"ehad","احد"
"ehâdîs","احادیث"
"ehadiyyet","احدیت"
"ehâlî","اهالی"
"ehass","اخص"
"ehdâf","اهداف"
"ehemm","اهم"
"ehemmiyyet","اهميت"
"ehibbâ","احبا"
"ehil","اهل"
"ehl","اهل"
"ehliyyet","اهليت"
"ehrâm","اهرام"
"ehrimen","اهرمن"
"ehsâs","احساس"
"ehven","اهون"
"ehzâb","احزاب"
"eimme","ائمه"
"eizze","اعزه"
"ejder","اژدر"
"ejderhâ","اژدرها"
"ekâbir","اکابر"
"ekâlîm","اقاليم"
"ekall","اقل"
"ekalliyet","اقليت"
"ekârib","اقارب"
"ekâvîl","اقاویل"
"ekber","اکبر"
"ekdâr","اکدار"
"ekfân","اکفان"
"ekhâl","اکحال"
"ekîd","اکيد"
"ekîden","اکيدا"
"ekl","اکل"
"ekmel","اکمل"
"eknâf","اکناف"
"eknûn","اکنون"
"ekrem","اکرم"
"ekser","اکثر"
"ekserî","اکثری"
"ekseriyyâ","اکثریا"
"ekseriyyet","اکثریت"
"ektâf","اکتاف"
"ekûl","اکول"
"ekvân","اکوان"
"ekyâl","اکيال"
"ekzeb","اکذب"
"elaman","الامان"
"el'an","الآن"
"elbise","البسه"
"elem","الم"
"elemzede","الم زده"
"elf","الف"
"elfâz","الفاظ"
"elhâc","الحاج"
"elhâlet hâzihi","الحالة هذه"
"elhân","الحان"
"elhâsıl","الحاصل"
"elif","الف"
"elifba","الفبا"
"elîm","اليم"
"elîme","اليمه"
"elkıssa","القصه"
"elsine","السنه"
"eltâf","الطاف"
"elvâh","الواح"
"elvân","الوان"
"elvedâ","الوداع"
"elviye","الویه"
"elyâf","الياف"
"el-yevm","اليوم"
"elzem","الزم"
"em'â","امعا"
"emâkin","اماکن"
"emân","امان"
"emânât-ı mübâreke","امانات مبارکه"
"emânet","امانت"
"emânetdâr","امانت دار"
"emâneten","امانة"
"emârât","امارات"
"emâre","اماره"
"emaret","امارت"
"emced","امجد"
"emel","امل"
"emhâl","امهال"
"emhâr","امهار"
"emîn","امين"
"emir","امر"
"emîr","امير"
"emirnâme","امرنامه"
"emkine","امکنه"
"emlâk","املاک"
"emmâre","اماره"
"emn","امن"
"emniyyet","امنيت"
"emr","امر"
"emrâz","امراض"
"emred","امرد"
"emsile","امثله"
"emtia","امتعه"
"emvâc","امواج"
"emvâl","اموال"
"emvât","اموات"
"emzice","امزجه"
"enâm","انام"
"enbân","انبان"
"enbâr","انبار"
"enbîk","انبيق"
"enbiyâ","انبيا"
"enbûh","انبوه"
"encâm","انجام"
"encîr","انجير"
"encüm","انجم"
"encümen","انجمن"
"endâm","اندام"
"endâze","اندازه cmlik uzunluk ölçüsü"
"endek","اندک"
"ender","اندر"
"enderûn","اندرون"
"enderü'l-vukû","اندرالوقوع"
"endîşe","اندیشه"
"endîşnâk","اندیشناک"
"endûh","اندوه"
"ene","انا"
"enf","انف"
"enfâs","انفاس"
"enfes","انفس"
"enfüs","انفس"
"engâr","انگار"
"engûr","انگور"
"engübin","انگبن"
"engüşt","انگشت"
"engüşter","انگشتر"
"engüştnümâ","انگشت نما"
"enhâr","انهار"
"enîn","انين"
"enîs","انيس"
"enkâz","انقاض"
"enmûzec","انموزج"
"ensâb","انساب"
"ensâc","انساج"
"ensâl","انسال"
"ensâr","انصار"
"ensice","انسجه"
"envâ'","انواع"
"envâr","انوار"
"enver","انور"
"enzâr","انظار"
"erâcîf","اراجيف"
"erâmil","ارامل"
"erâzî","اراضی"
"erâzil","اراذل"
"erba'","اربع"
"erba'a","اربعه"
"erbâb","ارباب"
"erbain","اربعين"
"erc","ارج"
"ercmend","ارجمند"
"ercümend","ارجمند"
"erfa'","ارفع"
"erganun","ارغنون"
"ergevân","ارغوان"
"erguvân","ارغوان"
"erguvânî","ارغوانی"
"erîke","اریکه"
"eriş","ارش"
"erkâm","ارقام"
"erkân","ارکان"
"erken","اركن"
"ermeğân","ارمغان"
"erneb","ارنب"
"erre","اره"
"ervâh","ارواح"
"erz","ارز"
"erzâk","ارزاق"
"erzân","ارزان"
"erzânî","ارزانی"
"erzel","ارذل"
"erzen","ارزن"
"erziş","ارزش"
"erzîz","ارزیز"
"es'ad","اسعد"
"esâmî","اسامی"
"es'âr","اسعار"
"esâret","اسارت"
"esas","اثاث"
"esâs","اساس"
"esâsât","اساسات"
"esâsen","اساسا"
"esâtîr","اساطير"
"esâtîz","اساتيذ"
"esb","اسب"
"esbâb","اسباب"
"esbak","اسبق"
"esed","اسد"
"esef","اسف"
"esefâ","اسفا"
"esefnâk","اسفناک"
"eser","اثر"
"esertiraz","اثرطراز"
"esfâr","اسفار"
"esfel","اسفل"
"eshâb","اصحاب"
"eshâm","اسهام"
"eshâr","اسحار"
"eshel","اسهل"
"eshiyâ","اسخيا"
"es'ile","اسئله"
"esîr","اسير"
"esîrân","اسيران"
"eskal","اثقال"
"eslâf","اسلاف"
"esliha","اسلحه"
"esmâ","اسما"
"esman","اثمان"
"esmân","اثمان"
"esmar","اثمار"
"esmâr","اثمار"
"esmer","اسمر"
"esna","اثنا"
"esnâ","اثنا"
"esnâf","اصناف"
"esnâm","اصنام"
"esnân","اسنان"
"esnayi rahda","اثناى راهده"
"esra'","اسرع"
"esrâr","اسرار"
"esrârengîz","اسرارانگيز"
"esrarkeş","اسرارکش"
"essasibeyt","اثاث‌بيت"
"ester","استر"
"esvâb","اثواب"
"esvap","اثواب"
"esvât","اصوات"
"esved","اسود"
"esyâf","اسياف"
"eş'âr","اشعار"
"eşcâr","اشجار"
"eşhâs","اشخاص"
"eşhür","اسهر"
"eşi'a","اشعه"
"eşk","اشک"
"eşkâl","اشکال"
"eşkâlûd","اشک آلود"
"eşkiyâ","اشقيا"
"eşna'","اشنع"
"eşrâf","اشراف"
"eşref","اشرف"
"et","ات"
"etba","اتباع"
"etek","اتك"
"etem","اتم"
"etemm","اتم"
"etfâl","اطفال"
"etıbbâ","اطبا"
"et'ime","اطعمه"
"etrâf","اطراف"
"etrâk","اتراک"
"etvâr","اطوار"
"evâhir","اواخر"
"evâil","اوائل"
"evâmir","اوامر"
"evân","اوان"
"evânî-i turâbe","اوانی ترابه"
"evâsıt","اواسط"
"evbâş","اوباش"
"evc","اوج"
"evdiye","اودیه"
"evhad","اوحد"
"evhâm","اوهام"
"evkâf","اوقاف"
"evkât","اوقات"
"evlâ","اولی"
"evlâd","اولاد"
"evleviyyet","اولویت"
"evliyâ","اوليا"
"evrâd","اوراد"
"evrâk","اوراق"
"evreng","اورنگ"
"evsâf","اوصاف"
"evsat","اوسط"
"evtâd","اوتاد"
"evvel","اوّل"
"evvelâ","اولا"
"evvelâhır","اول آخر"
"evvelbahar","اول بهار"
"evveliyyât","اوليات"
"evzân","اوزان"
"eyâlât","ایالات"
"eytâm","ایتام"
"eyvân","ایوان"
"eyyâm","ایام"
"eyzan","ایضا"
"ezânî","اذانی"
"ezdâd","اضداد"
"ezel","ازل"
"ezelbeezel","ازل به ازل"
"ezelî","ازلی"
"ezeliyyet","ازليت"
"ezhân","اذهان"
"ezhâr","ازهار"
"eziyyet","اذیت"
"ezkâr","اذکار"
"ezkazâ","ازقضا"
"ezkiyâ","اذکيا"
"ezmân","ازمان"
"ezmine","ازمنه"
"ezrak","ازرق"
"ezvâc","ازواج"
"ezvâk","اذواق"
"ezyâl","اذیال"
"fa'âl","فعال"
"fa'âliyyet","فعاليت"
"fâcia","فاجعه"
"fâciât","فاجعات"
"fâcir","فاجر"
"fağfur","فغفور"
"fağfûrî","فغفوری"
"fahâmet","فخامت"
"fahhâr","فخار"
"fâhir","فاخر"
"fâhiş","فاحش"
"fâhişe","فاحشه"
"fâhişehane","فاحشه خانه"
"fahr","فخر"
"fahrî","فخری"
"fahşâ","فحشا"
"fâhte","فاخته"
"fahûr","فخور"
"fâide","فائده"
"fâidebahş","فائده بخش"
"fâik","فائق"
"fâikiyyet","فائقيت"
"fâil","فاعل"
"fâiliyyet","فاعليت"
"fâiz","فائض"
"fâka","فاقه"
"fakâhet","فقاهت"
"fakat","فقط"
"fakd","فقد"
"fakîd","فقيد"
"fakîh","فقيه"
"fâkiha","فاکهه"
"fakîr","فقير"
"fakirhâne","فقيرخانه"
"fakr","فقر"
"fâl","فال"
"falaka","فلقه"
"fâlic","فلج"
"fâlnâme","فالنامه"
"fâm","فام"
"fânî","فانی"
"fânûs","فانئس"
"fâr","فار"
"farazâ","فرضا"
"faraziyye","فرضيه"
"fârıka","فارقه"
"fâriğ","فارغ"
"fâris","فارس"
"fârisî","فارسی"
"farîza","فریضه"
"fark","فرق"
"fart","فرط"
"farz","فرض"
"farzâ","فرضا"
"farziyye","فرضيه"
"fâsık","فاسق"
"fâsıla","فاصله"
"fâsid","فاسد"
"fasîh","فصيح"
"fasîle","فصيله"
"fasl","فصل"
"fassâd","فصاد"
"fâş","فاش"
"fatih","فاتح"
"fâtih","فاتح"
"fatin","فطين"
"fayda","فایده"
"fâzıl","فاضل"
"fazîha","فضيحه"
"fazîlet","فضيلت"
"faziletkâr","فضيلتکار"
"faziletperest","فضيلت پرست"
"fazl","فضل"
"fazla","فضله"
"fecâ'at","فجاعت"
"fecere","فجره"
"fecî'","فجيع"
"fecî'a","فجيعه"
"fecir","فجر"
"fecr","فجر"
"fedâ","فدا"
"fedâ'î","فدائی"
"fedâkâr","فداکار"
"fedâkârâne","فداکارانه"
"fedâkârî","فداکاری"
"fehâris","فهارس"
"fehîm","فهيم"
"fehvâ","فحوا"
"fekâhet","فکاحت"
"fekk","فک"
"felâh","فلاح"
"felâket","فلاکت"
"felâketzede","فلاکت زده"
"felâsife","فلاسفه"
"felc","فلج"
"felek","فلک"
"felekiyyât","فلکيات"
"felekzede","فلک زده"
"fellâh","فلاح"
"felsefî","فلسفی"
"fem","فم"
"fenâ","فنا"
"fenâpezîr","فناپذیر"
"fend","فند"
"fenn","فن"
"fennen","فنا"
"fennî","فنی"
"fenniyyât","فنيات"
"fer","فر"
"fer'","فرع"
"ferâgat","فراغت"
"ferâğ","فراغ"
"ferah","فرح"
"ferâh","فراخ"
"ferahbahş","فرح بخش"
"ferâine","فراعنه"
"ferâiz","فرائض"
"ferâmîn","فرامين"
"ferâmûş","فراموش"
"ferâset","فراست"
"ferbih","فربه"
"ferc","فرج"
"fercâm","فرجام"
"ferd","فرد"
"ferdâ","فردا"
"ferdî","فردی"
"ferdiyyet","فردیت"
"ferec","فرج"
"feres","فرس"
"ferhân","فرحان"
"ferheng","فرهنگ"
"ferhunde","فرخنده"
"fer'î","فرعی"
"ferîd","فرید"
"ferikân","فریقان"
"ferîk-i evvel","فریق اول"
"ferîk-i sânî","فریق ثانی"
"ferişte","فَرِشته"
"fermân","فرمان"
"fermandih","فرمان ده"
"fermânfermâ","فرمان فرما"
"fermâyiş","فرمایش"
"ferrâş","فراش"
"ferruh","فرخ"
"fersah","فرسخ"
"fersûde","فرسوده"
"ferş","فرش"
"fertût","فرتوت"
"ferverdîn","فروردین"
"feryâd","فریاد"
"feryâdres","فریادرس"
"ferzâne","فرزانه"
"ferzend","فرزند"
"fesâd","فساد"
"fesahat","فصاحت"
"fesâne","فسانه"
"fesat","فساد"
"fesh","فسخ"
"fetâ","فتی"
"fetâvâ","فتاوی"
"feth","فتح"
"fetîle","فتيله"
"fetret","فترت"
"fettâh","فتاح"
"fettan","فتان"
"fetvâ","فتوی"
"fevâhiş","فواحش"
"fevâid","فوائد"
"fevâkih","فواکه"
"fevâris","فوارس"
"fevc","فوج"
"feverân","فوران"
"fevk","فوق"
"fevkalâde","فوق العاده"
"fevkalbeşer","فوق البشر"
"fevkalferd","فوق الفرد"
"fevkalhad","فوق الحد"
"fevkânî","فوقانی"
"fevkattabîa","فوق الطبيعه"
"fevren","فورا"
"fevrî","فوری"
"fevt","فوت"
"fevvâre","فواره"
"feyezân","فيضان"
"feyiz","فيض"
"feylesof","فيلسوف"
"feyyâz","فياض"
"feyz","فيض"
"feyzbahş","فيض بخش"
"fezâ","فضا"
"fezâil","فضائل"
"fezleke","فذلکه"
"fıdda","فضه"
"fıkarât","فقرات"
"fıkdân","فقدان"
"fıkh","فقه"
"fıkra","فقره"
"fırak","فرق"
"fırka","فرقه"
"fırsat","فرصت"
"fısk","فسق"
"fıskiyye","فسقيه"
"fıtnat","فطنت"
"fıtra","فطره"
"fıtrat","فطرت"
"fıtraten","فطرتا"
"fıtrî","فطری"
"fî","فی"
"fîât","فيئات"
"figân","فغان"
"fihris","فهرس"
"fikir","فکر"
"fikr","فکر"
"fikren","فکرا"
"fikrî","فکری"
"fikriyyât","فکریات"
"fil","فيل"
"fi'l","فعل"
"filâhat","فلاحت"
"filasl","فی الاصل"
"fi'len","فعلا"
"filhakîka","فی الحقيقه"
"filhâl","فی الحال"
"fi'liyyât","فعليات"
"filiz","فلز"
"filmesel","فی المثل"
"filvâki","فی الواقع"
"fimaba'd","فيمابعد"
"fîmâba'd","فی ما بعد"
"fînefsilemr","فی نفس الامر"
"firâk","فراق"
"firâr","فرار"
"firârî","فراری"
"firâvân","فراوان"
"fir'avn","فرعون"
"firâz","فراز"
"firdevs","فردوس"
"fireng","فرنگ"
"firîfte","فریفته"
"firistâde","فرستاده"
"firişte","فرشته"
"firiştehû","فرشته خو"
"firkat","فرقت"
"fîrûz","فيروز"
"fîrûze","فيروزه"
"fîrûzefâm","فيروزه فام"
"fîsebîlillah","فی سبيل الله"
"fiskos","فسقوس"
"fiten","فتن"
"fitne","فتنه"
"fityân","فتيان"
"fortuna","فورطنه"
"fuâd","فؤاد"
"fuhş","فحش"
"fuhuş","فحش"
"fukahâ","فقها"
"fukarâ","فقرا"
"fûlâd","فولاد"
"furkân","فرقان"
"fursat","فرصت"
"fursatcû","فرصت جو"
"fusahâ","فصحا"
"fusûl","فصول"
"fuzalâ","فضلا"
"fuzûl","فضول"
"fuzûlî","فضولی"
"füceten","فجئة"
"fücûr","فجور"
"fülân","فلان"
"fülfül","فلفل"
"füls","فلس"
"fülûs","فلوس"
"fünûn","فنون"
"fürs","فرس"
"fürû'","فروع"
"fürûğ","فروغ"
"fürûht","فروخت"
"fürûmâye","فرومایه"
"fürûzân","فروزان"
"füshat","فسحت"
"füsûn","فسون"
"füsûnger","فسونگر"
"füsürde","فسرده"
"fütâde","فتاده"
"fütûhât","فتوحات"
"fütûr","فتور"
"fütüvvet","فتوت"
"füyûz","فيوض"
"füzûn","فزون"
"gabâvet","غباوت"
"gabî","غبی"
"gabn","غبن"
"gaddâr","غدار"
"gadr","غدر"
"gaffâr","غفار"
"gâfil","غافل"
"gaflet","غفلت"
"gafleten","غفلة"
"gafûr","غفور"
"gâib","غائب"
"gâile","غائله"
"gâita","غائطه"
"galat","غلط"
"galebe","غلبه"
"galeyân","غليان"
"gâlib","غالب"
"gâliba","غالبا"
"gâlibiyyet","غالبيت"
"galîz","غليظ"
"galle","غله"
"gam","غم"
"gâmız","غامض"
"gammâz","غماز"
"gamnâk","غمناک"
"ganâim","غنائم"
"ganem","غنم"
"ganî","غنی"
"ganîmet","غنيمت"
"gâr","غار"
"garâbet","غرابت"
"garâib","غرائب"
"garâm","غرام"
"garaz","غرض"
"garazâlûd","غرض آلود"
"garazkâr","غرضکار"
"garb","غرب"
"garben","غربا"
"garbî","غربی"
"garbiyyûn","غربيون"
"gâret","غارت"
"gâretger","غارتگر"
"garîb","غریب"
"garibü'd-diyâr","غریب الدیار"
"garîk","غریق"
"garîze","غریزه"
"garizî","غریزی"
"gark","غرق"
"garrâ","غرا"
"gars","غرس"
"gasb","غصب"
"gaseyan","غصيان"
"gâsıb","غصيب"
"gasl","غسل"
"gassâl","غسال"
"gâşiye","غاشيه"
"gaşy","غشی"
"gavgâ","غوغا"
"gavvâs","غواص"
"gâyât","غایات"
"gayb","غایب"
"gaybûbet","غيبوبت"
"gâye","غایه"
"gâyet","غایت"
"gaym","غيم"
"gayr","غير"
"gayrendîş","غير اندیش"
"gayret","غيرت"
"gayretkeş","غيرتکش"
"gayretmend","غيرتمند"
"gayriyyet","غيریت"
"gayyâ","غيا"
"gayz","غيظ"
"gazâ","غزا"
"gazab","غضب"
"gazâl","غزال"
"gazanfer","غضنفر"
"gazavât","غزوات"
"gazel","غزل"
"gazelhân","غزل خوان"
"gazeliyyât","غزليات"
"gazelserâ","غزل سرا"
"gazî","غازی"
"gazve","غزوه"
"gıbta","غبطه"
"gıdâ","غدا"
"gılâf","غلاف"
"gıllügış","غل و غش"
"gılmân","غلمان"
"gılzet","غلظت"
"gınâ","غنا"
"gırbâl","غربال"
"gışâ","غشا"
"gışş","غش"
"gıyâb","غياب"
"gıyâben","غيابا"
"gıyâs","غياث"
"gıybet","غيبت"
"gonca","غنجه"
"goncaruhsâr","غنجه رخسار"
"gonce","غنجه"
"goncedehân","غنجه دهان"
"gubâr","غبار"
"gubârâlûd","غبار آلود"
"gudde","غده"
"guded","غدد"
"gufrân","غفران"
"gûk","غوک"
"gulâm","غلام"
"gulât","غلات"
"gulgule","غلغله"
"gumûm","غموم"
"gunûde","غنوده"
"gurâb","غراب"
"gurbet","غربت"
"gurbetzede","غربت زده"
"gurebâ","غربا"
"gurrân","غران"
"gurre","غره"
"gurûb","غروب"
"gurûr","غرور"
"gusl","غسل"
"gusn","غصن"
"gussa","غصه"
"hâb","خواب"
"habâb","حباب"
"habâbe","حبابه"
"habâis","خبائث"
"hâbâlûd","خواب آلود"
"hâbâlûde","خواب آلوده"
"habâset","خباثت"
"habb","حب"
"habbât","حبات"
"habbâz","خباز"
"habbe","حبه"
"habbezâ","حبذا"
"habbülbülûğ","حب البلوغ"
"hâbcâme","خواب جامه"
"haber","خبر"
"haberdar","خبردار"
"habeşe","حبشه"
"hâbgâh","خوابگاه"
"habîb","حبيب"
"habîr","خبير"
"habis","خبيث"
"habl","حبل"
"hablülmesâkin","حبل المساکن"
"hâbnâk","خوابناک"
"hâbnâme","خواب نامه"
"habr","حبر"
"habs","حبس"
"habshâne","حبس خانه"
"habt","خبط"
"habtühata","خبط و خطا"
"hac","حاج"
"hacâlet","خجالت"
"hacâletâver","خجالت آور"
"hacamat","حجامت"
"hacâmet","حجامت"
"hâcât","حاجات"
"haccâm","حجام"
"haccar","حجار"
"hâcce","حاجه"
"hâce","خواجه"
"hâcegân","خواجگان"
"hâcegî","خواجگی"
"hacel","خجل"
"hacer","حجر"
"hâceserâ","خواجه سرا"
"hâcet","حاجت"
"hâcetmend","حاجتمند"
"hacı","حاجی"
"hacıyân","حاجيان"
"hâcî","هاجی"
"hâcib","حاجب"
"hacîl","خجيل"
"hâcir","هاجر"
"hâciz","حاجز"
"hacle","حجله"
"haclegâh","حجله گاه"
"haclet","خجلت"
"hacletâver","خجلت آور"
"hacm","حجم"
"hacmen","حجما"
"hacz","حجز"
"hadâik","حدائق"
"hâdd","حاد"
"haddâ'","خداع"
"haddâd","حداد"
"haddâdî","حدادی"
"hadeb","حدب"
"hadem","خدم"
"hademe","خدمه"
"hadeng","خدنگ"
"hader","خدر"
"hades","حدس"
"hâdi'","خادع"
"hâdî","هادی"
"hadîka","حدیقه"
"hâdim","خادم"
"hâdime","خادمه"
"hadîs","حدیث"
"hâdis","حادث"
"hâdisat","حادثات"
"hâdise","حادثه"
"hadnâşinas","حدناشناس"
"hadrâ","حضرا"
"hads","حدس"
"hadşe","خدشه"
"hadşeâver","خدشه آور"
"hafâ","خفا"
"hafâfîş","خفافيش"
"hafâgâh","خفاگاه"
"hafâir","حفائر"
"hafakan","خفقان"
"hafâyâ","خفایا"
"hafız","حافظ"
"hafıza","حافظه"
"hafî","خفی"
"hâfî","حافی"
"hafîd","حفيد"
"hafîde","حفيده"
"hafif","خفيف"
"hafîr","حفير"
"hâfir","حافر"
"hafiyyât","خفيات"
"hafiyye","خفيه"
"hafiyyen","خفيا"
"hafr","حفر"
"hafriyyât","حفریات"
"haftân","خفتان"
"hâh","خواه"
"hâhân","خواهان"
"hâher","خواهر"
"hâherzâde","خواهرزاده"
"hâhiş","خواهش"
"hâhişger","خواهشگر"
"hâhişkâr","خواهشکار"
"hâhişkerde","خواهش کرده"
"hâhnâhâh","خواه ناخواه"
"hâif","خائف"
"hâifen","خائفا"
"hâil","هائل"
"hâin","خائن"
"hâinâne","خائنانه"
"hâiz","حائز"
"hâk","خاک"
"hak teâlâ","حق تعالی"
"hakâik","حقائق"
"hakan","خاقان"
"hakâret","حقارت"
"hakaretâmiz","حقارت آميز"
"hakâyık","حقایق"
"hâkbîz","خاک بيز"
"hakem","حکم"
"hâkezâ","هکذا"
"hakgû","حق گو"
"hakîkat","حقيقت"
"hakîkaten","حقيقة"
"hakikî","حقيقی"
"hakikiye","حقيقيه"
"hakîm","حکيم"
"hâkim","حاكم"
"hâkimiyet","حاکميت"
"hakîr","حقير"
"hâkister","خاکستر"
"hâkisterî","خاکستری"
"hakkâk","حکاک"
"hakkaniyet","حقانيت"
"hâkrûb","خاکروب"
"hakşinas","حق شناس"
"hakşinâsî","حق شناسی"
"hal'","خلع"
"halâ","خلا"
"hâlâ","حالا"
"halâik","خلائق"
"halâl","خلال"
"halâs","خلاص"
"halaskâr","خلاصکار"
"hâlâşina","حال آشنا"
"hâlât","حالات"
"halâvet","حلاوت"
"haldâr","خالدار"
"halecan","خلجان"
"halef","خلف"
"halel","خلل"
"haleldâr","خللدار"
"halen","حالا"
"hâlet","حالت"
"halhal","خلخال"
"hâlık","خالق"
"hâlî","خالی"
"halîb","حليب"
"halîc","خليج"
"hâlid","خالد"
"halîfe","خليفه"
"halihazır","حال حاضر"
"hâlik","خالق"
"hâlikiyet","خالقيت"
"halîm","حليم"
"hâlis","خالص"
"hâlisâne","خالصانه"
"halîta","خليطه"
"hâliyâ","حاليا"
"halka","حلقه"
"halkabegûş","حلقه بگوش"
"halkiyat","خلقيات"
"hall","حل"
"hallâc","حلاج"
"hallâk","خلاق"
"hallâl","حلال"
"hallüfasl","حل و فصل"
"halt","خلط"
"halûk","خلوق"
"halvet","خلوت"
"halvetgâh","خلوتگاه"
"hamâil","حمائل"
"hamâkat","حماقت"
"hamâme","حمامه"
"hamâse","حماسه"
"hamâset","حماست"
"hamd","حمد"
"hâme","خامه"
"hamel","حمل"
"hamelât","حملات"
"hâmî","حامی"
"hâmid","حامد"
"hamîde","خميده"
"hâmil","حامل"
"hâmile","حامله"
"hamîr","حمير"
"hâmis","خامس"
"hâmisen","خامسا"
"hâmiş","هامش"
"hâmiz","حامض"
"haml","حمل"
"hamle","حمله"
"hammâl","حمال"
"hammâm","حمام"
"hammâr","خمار"
"hamr","خمر"
"hamrâ","خمرا"
"hams","خمس"
"hamse","خمسه"
"hamsin","خمسين"
"hamûl","حمول"
"hamûle","حموله"
"hâmûn","هامون"
"hâmûş","خاموش"
"hamyâze","خميازه"
"hamz","حمض"
"hanâzir","خنازیر"
"hancer","خنجر"
"hancere","حنجره"
"handan","خندان"
"hande","خنده"
"handek","خندق"
"handerûy","خنده روی"
"hâne","خانه"
"hanedan","خاندان"
"hâneharâb","خانه خراب"
"hânende","خواننده"
"hânkah","خانقاه"
"hânman","خانمان"
"hannas","خناس"
"hânsâlar","خوان سالار"
"hânüman","خانمان"
"hapis","حبس"
"hapishane","حبس خانه"
"har","خر"
"harâb","خراب"
"harâbat","خرابات"
"harâbe","خرابه"
"harâc","خراج"
"haram","حرام"
"harâmi","حرامی"
"haramzâde","حرام زاده"
"harâret","حرارت"
"harâtin","خراطين"
"harb","حرب"
"harbe","حربه"
"harbiye","حربيه"
"harbüze","خربزه"
"harc","خرج"
"harçeng","خرچنگ"
"hardal","خردل"
"hâre","خاره"
"harekât","حرکات"
"hareke","حركه"
"hareket","حرکت"
"harem","حرم"
"haremserây","حرم سرای"
"harf","حرف"
"hargâh","خرگاه"
"hargûş","خرگوش"
"hârî","خواری"
"hârib","هارب"
"hâric","خارج"
"hâricen","خارجا"
"hâricî","خارجی"
"hariciye","خارجيه"
"harîd","خرید"
"harîdâr","خریدار"
"harîf","حریف"
"harîk","حریق"
"hârika","خارقه"
"hârikulâde","خارق العاده"
"harîm","حریم"
"harîm-i ismet","حریم عصمت"
"harîr","حریر"
"harîrî","حریری"
"harîs","حریص"
"hâristan","خارستان"
"harita","خریطه"
"harmen","خرمن"
"harmengâh","خرمنگاه"
"harmühre","خرمهره"
"harnub","خرنوب"
"hârpuşt","خارپشت"
"hârr","حار"
"harrât","خراط"
"hars","حرث"
"harsî","حرثی"
"harvâr","خروار"
"hârzâr","خارزار"
"has","خس"
"hâs","خاص"
"hasâdet","حسادت"
"hasâil","خصائل"
"hasâis","خصائص"
"hasâr","خسار"
"hasarât","خسرات"
"hasardîde","خساردیده"
"hasâret","خسارت"
"hasâset","خساست"
"hasb","حسب"
"hasbe","حصبه"
"hasbelkader","حسب القدر"
"hasbetenlillah","حسبة لله"
"hasbihal","حسب حال"
"hasbü'l-mâhiye","حسب الماهيه"
"hasebe","حصبه"
"hased","حسد"
"hasen","حسن"
"hasenât","حسنات"
"hasene","حسنه"
"hasenülhulk","حسن الخلق"
"hasf","خسف"
"hâsıd","حاصد"
"hâsıl","حاصل"
"hâsılat","حاصلات"
"hasım","خصم"
"hasîb","حسيب"
"hâsid","حاسد"
"hasîn","حصين"
"hasîr","حصير"
"hâsir","خاسر"
"hasis","خسيس"
"hasîsa","خصيصه"
"hasiy","خصی"
