"a","ه"
"hatarnâk","خطرناک"
"hatâyâ","خطایا"
"hâtem","خاتم"
"hâtıf","هاتف"
"hâtır","خاطر"
"hâtıra","خاطره"
"hâtırat","خاطرات"
"hâtırâzâr","خاطر آزار"
"hâtırâzürde","خاطر آزرده"
"hâtırşinâs","خاطرشناس"
"hatîa","خطيئه"
"hatîb","خطيب"
"hâtime","خاتمه"
"hatîr","خطير"
"hatm","ختم"
"hatn","ختن"
"hatt","خط"
"hatta","حتى"
"hattâ","حتی"
"hattâb","حطاب"
"hattat","خطاط"
"hatve","خطوه"
"havâ","هوا"
"havadar","هوادار"
"havâdis","حوادث"
"havaî","هوائی"
"havale","حواله"
"havali","حوالی"
"havârik","خوارق"
"havâss","خواص"
"havâyic","حوایج"
"hâven","هاون"
"hâver","خاور"
"hâveran","خاوران"
"hâverşinas","خاورشناس"
"havf","خوف"
"havfnâk","خوفناک"
"hâvî","حاوی"
"havl","حول"
"havsala","حوصله"
"havz","حوض"
"hayâ","حيا"
"hayâl","خيال"
"hayâlât","خيالات"
"hayâlen","خيالا"
"hayâlet","خيالت"
"hayalî","خيالی"
"hayalperest","خيال پرست"
"hayat","حيات"
"hayatbahş","حيات بخش"
"hayatî","حياتی"
"hayâtiyyât","حياتيات"
"hâye","خایه"
"hayf","حيف"
"hayır","خير"
"hayırhah","خيرخواه"
"hayl","خيل"
"hayli","خيلی"
"hayme","خيمه"
"haymegâh","خيمه گاه"
"haymenişin","خيمه نشين"
"hayr","خير"
"hayran","حيران"
"hayrendiş","خيراندیش"
"hayret","حيرت"
"hayretbahş","حيرت بخش"
"hayretkâr","حيرت کار"
"hayretzede","حيرت زده"
"haysiyyet","حيثيت"
"hayvan","حيوان"
"hayvanî","حيوانی"
"hayvaniye","حيوانيه"
"hayy","حی"
"hayyât","خياط"
"hayye","حيه"
"hayyir","خير"
"hayz","خيض"
"hazâin","خزائن"
"hazân","خزان"
"hazar","حضر"
"hazer","حذز"
"hazerat","حضرات"
"hazf","حذف"
"hâzık","حاذق"
"hazır","حاضر"
"hâzırûn","حاضرون"
"hâzi","خاضع"
"hazîn","حزین"
"hâzin","خازن"
"hazine","خزینه"
"hazinedar","خزینه دار"
"hazîre","حظيره"
"hazm","حضم"
"hazret","حضرت"
"hazz","حظ"
"hebâ","هبا"
"hecâ","هجا"
"hecâgû","هجاگو"
"hecîn","هجين"
"hecr","هجر"
"hedâyâ","هدایا"
"hedef","هدف"
"heder","هدر"
"hediyye","هدیه"
"heft","هفت"
"heftâd","هفتاد"
"hefte","هفته"
"heftevreng","هفت اورنگ"
"helâhil","هلاهل"
"helâk","هلاک"
"helal","حلال"
"helalzâde","حلال زاده"
"helezon","حلزون"
"helva","حلوا"
"helvafurûş","حلوا فروش"
"helvâyî","حلوایی"
"hem","هم"
"hemâgûş","هم آگوش"
"hemâheng","هم آهنگ"
"heman","همان"
"hemânâ","همانا"
"hemandem","هماندم"
"hemânend","همانند"
"hemasr","هم عصر"
"hemâvâz","هم آواز"
"hembâz","همباز"
"hemcins","هم جنس"
"hemcivâr","هم جوار"
"hemçü","همچو"
"hemdem","همدم"
"hemderd","هم درد"
"hemdîger","همدیگر"
"heme","همه"
"hemegân","همگان"
"hemfikr","همفکر"
"hemginân","همگنان"
"hemhudûd","هم حدود"
"hemin","همين"
"hemîşe","هميشه"
"hemkadd","هم قد"
"hemkâr","همکار"
"hemkîş","همکيش"
"hemm","هم"
"hemnâm","همنام"
"hempâ","همپا"
"hemrâh","همراه"
"hemrâz","همراز"
"hemrîş","همریش"
"hemsâl","همسال"
"hemsâye","همسایه"
"hemsefer","همسفر"
"hemser","همسر"
"hemsinn","هم سن"
"hemsohbet","هم صحبت"
"hemşehrî","هم شهری"
"hemşîre","همشيره"
"hemtâ","همتا"
"hemvâr","هموار"
"hemvâre","همواره"
"hemyân","هميان"
"hemzâd","همزاد"
"hemze","همزه"
"hemzebân","همزبان"
"henâzir","خنازیر"
"hendesî","هندسی"
"hengâm","هنگام"
"hengâme","هنگامه"
"henüz","هنوز"
"her","هر"
"herâyîne","هر آیينه"
"herbâr","هربار"
"hercâî","هرجائی"
"hercümerc","هرج و مرج"
"herçend","هرچند"
"herçibâdâbâd","هرچه بادا باد"
"herdem","هردم"
"herem","هرم"
"hergele","خرگله"
"hergiz","هرگز"
"herze","هرزه"
"herzegû","هرزه گو"
"herzegûyî","هرزه گویی"
"hesâb","حساب"
"hestî","هستی"
"heşt","هشت"
"heştâd","هشتاد"
"hetk","هتک"
"hettâk","هتاک"
"hevâ","هوا"
"hevâperest","هواپرست"
"heves","هوس"
"hevesât","هوسات"
"hevesdâr","هوسدار"
"heveskâr","هوسکار"
"hevl","هول"
"hevlnâk","هولناک"
"heyâkil","هياکل"
"heyecân","هيجان"
"heyelân","هيلان"
"hey'et","هيئت"
"hey'etşinâs","هيئت شناس"
"heyhât","هيهات"
"heykel","هيکل"
"heykeltıraş","هيکل تراش"
"heyûlâ","هيولا"
"heyzüm","هيزم"
"hezâr","هزار"
"hezârdestân","هزاردستان"
"hezârpâ","هزارپا"
"hezeyân","هزیان"
"hezîmet","هزیمت"
"hezl","هزل"
"hezlgû","هزل گو"
"hıdiv","خدیو"
"hıfz","حفظ"
"hıfzıssıhha","حفظ الصحه"
"hılt","خلط"
"hınâ","حنا"
"hınzîr","خنزیر"
"hırâmân","خرامان"
"hıred","خرد"
"hıredmend","خردمند"
"hırka","خرقه"
"hırkapûş","خرقه پوش"
"hırmân","حرمان"
"hırz","حرز"
"hısâl","خصال"
"hısn","حصن"
"hışım","خشم"
"hışm","خشم"
"hışmgîn","خشمگين"
"hışt","خشت"
"hıtat","خطط"
"hıtta","خطه"
"hıyâbân","خيابان"
"hıyânet","خيانت"
"hıyânetkâr","خيانتکار"
"hıyâr","خيار"
"hıyre","خيره"
"hıyreçeşm","خيره چشم"
"hıyreser","خيره سر"
"hibâb","حباب"
"hibâle","حباله"
"hibe","هبه"
"hibr","حبر"
"hibre","خبره"
"hicâ","هجا"
"hicâb","حجاب"
"hicaz","حجاز"
"hiciv","هجو"
"hicr","هجر"
"hicrân","هجران"
"hicret","هجرت"
"hicv","هجو"
"hicviyye","هجویه"
"hîç","هيچ"
"hîçkes","هيچکس"
"hidâ'","خداع"
"hidayet","هدایت"
"hiddet","حدت"
"hidemat","خدمات"
"hidiv","خدیو"
"hidmet","خدمت"
"hidmetkâr","خدمتکار"
"hiffet","خفت"
"hijdeh","هژده"
"hîk","خيک"
"hikâyât","حکایات"
"hikâyet","حکایت"
"hikem","حکم"
"hikmet","حکمت"
"hikmetşinâs","حکمت شناس"
"hilâf","خلاف"
"hil'at","خلعت"
"hîle","حيله"
"hîlebaz","حيله باز"
"hîlekâr","حيله کار"
"hilkat","خلقت"
"hilm","حلم"
"hilye","حليه"
"himâr","حمار"
"himaye","حمایه"
"hîme","هيمه"
"himem","همم"
"himmet","همت"
"hîn","حين"
"hinduvâne","هندوانه"
"hirâs","هراس"
"hired","خرد"
"hiref","حرف"
"hirem","هرم"
"hirfet","حرفت"
"hirmân","حرمان"
"hisâb","حساب"
"hisân","حصان"
"hisar","حصار"
"hiss","حس"
"hisse","حصه"
"hissedar","حصه دار"
"hisset","خست"
"hisseyâb","حصه یاب"
"hissî","حسی"
"hiss-i kablelvukû","حس قبل الوقوع"
"hissiyât","حسيات"
"hissiye","حسيه"
"hîş","خویش"
"hitâb","خطاب"
"hitâbe","خطابه"
"hitabet","خطابت"
"hitâm","ختام"
"hitan","ختان"
"hiyel","حيل"
"hizâ","حذا"
"hizâb","خيزاب"
"hizâne","خزانه"
"hizb","حزب"
"hizmet","خدمت"
"hoca","خواجه"
"hod","خود"
"hodbehod","خودبخود"
"hodbin","خودبين"
"hodkâm","خودکام"
"hodrey","خودرای"
"hodsitâ","خودستا"
"hokka","حقه"
"hokkabaz","حقه باز"
"hoşab","خوشاب"
"hoşaf","خوشاب"
"hoşâmedgû","خوش آمد گو"
"hoşâvâz","خوش آواز"
"hoşbû","خوشبو"
"hoşgüvâr","خوش گوار"
"hoşnûd","خشنود"
"hoşrû","خوش رو"
"hoşsohbet","خوش صحبت"
"hû","هو"
"hub","حب"
"hûb","خوب"
"hubbü'l-vatan mine'l-îmân","حب الوطن من الایمان"
"hubeb","حبب"
"hûbî","خوبی"
"hûbrûy","خوبروی"
"hûbter","خوبتر"
"hubûb","حبوب"
"hububat","حبوبات"
"hubz","خبز"
"huccâc","حجاج"
"huccet","حجت"
"huceste","خجسته"
"hûd","خود"
"hud'a","خدعه"
"hudâ","خدا"
"hudâdâd","خداداد"
"hudânekerde","خدانکرده"
"hudârâ","خودآرا"
"hudâşinas","خداشناس"
"hudâvend","خداوند"
"hudâvendigâr","خداوندگار"
"hudâyâ","خدایا"
"huddâm","خدام"
"hudperest","خودپرست"
"hudûd","حدود"
"hudûs","حدوس"
"huffâş","خفاش"
"huffâz","حفاظ"
"hufre","حفره"
"hufte","خفته"
"hûk","خوک"
"hukne","حقنه"
"hukuk","حقوق"
"hukukşinas","حقوق شناس"
"hulâsa","خلاصه"
"hulâsaten","خلاصة"
"huld","خلد"
"hulefa","خلفا"
"hulk","خلق"
"hulkum","حلقوم"
"hulûl","حلول"
"hulûs","خلوص"
"hulûskâr","خلوصکار"
"hum","خم"
"humâr","خمار"
"humekâ","حمقا"
"humhâne","خم خانه"
"humk","حمق"
"hummâ","حما"
"humret","حمرت"
"hums","خمس"
"humûzet","حموضت"
"hûn","خون"
"hûnâlûd","خون آلود"
"hunbehâ","خون بها"
"hunhâr","خونخوار"
"hunnâk","خناق"
"hunrîz","خونریز"
"hunyâger","خنياگر"
"hûr","حور"
"hurâfât","خرافات"
"hurafe","خرافه"
"hurafeperver","خرافه پرور"
"hurd","خرد"
"hurdebin","خرده بين"
"hurdegîr","خرده گير"
"hûri","حوری"
"hûrşîd","حورشيد"
"hurûc","خروج"
"hurûf","حروف"
"hurûş","خروش"
"husemâ","خصما"
"husûf","خسوف"
"husûl","خصول"
"husûmet","خصومت"
"husûs","خصوص"
"husûsat","خصوصات"
"hususî","خصوصی"
"husûsiyet","خصوصيت"
"hûş","هوش"
"hûşe","خوشه"
"huşk","خشک"
"huşksâlî","خشک سالی"
"huşû","خشوع"
"huşûnet","خشونت"
"huşyâr","هشيار"
"hutût","خطوط"
"hûy","خوی"
"huzme","حزمه"
"huzûr","حضور"
"huzzâr","حضار"
"hüccet","حجت"
"hücec","حجج"
"hüceyrat","حجيرات"
"hüceyre","حجيره"
"hücre","حجره"
"hücum","هجوم"
"hücürât","حجرات"
"hüdhüd","هدهد"
"hükemâ","حکما"
"hükkâm","حکام"
"hükm","حکم"
"hükümat","حکومات"
"hükümdar","حکمدار"
"hükümet","حکومت"
"hükümran","حکمران"
"hükümrânî","حکمرانی"
"hülâsa","خلاصه"
"hülâsatan","خلاصة"
"hümâ","هما"
"hümâyûn","همایون"
"hüner","هنر"
"hünermend","هنرمند"
"hünkâr","خنکار"
"hünsâ","خنثی"
"hür","حر"
"hürmet","حرمت"
"hürmetkâr","حرمتکار"
"hürr","حر"
"hürriyet","حریت"
"hüsam","حسام"
"hüsn","حسن"
"hüsn-i ahlak","حسن اخلاق"
"hüsn-i idare","حسن اداره"
"hüsn-i sûret","حسن صورت"
"hüsr","خسر"
"hüsran","خسران"
"hüsranhîz","خسران خيز"
"hüsrev","خسرو"
"hüveydâ","هویدا"
"hüviyyet","هویت"
"hüzn","حزن"
"hüznengîz","حزن انگيز"
"hüzzam","حزام"
"ık'âd","اقعاد"
"ıkd","عقد"
"ıklîm","اقليم"
"ıktıdâ","اقتدا"
"ırdâ","ارضاع"
"ırk","عرق"
"ırken","عرقا"
"ırkî","عرقی"
"ırz","عرض"
"ırzâ","ارضاع"
"ısdâr","اصدار"
"ısfırâr","اصفرار"
"ıskât","اسقاط"
"ıslâh","اصلاح"
"ıslâhât","اصلاحات"
"ıslâhpezîr","اصلاح پذیر"
"ısrar","اصرار"
"ıstıbâr","اصطبار"
"ıstıfâ","اصطفا"
"ıstıfâî","اصطفائی"
"ıstılâh","اصطلاح"
"ıstılâhât","اصطلاحات"
"ıstınâ'","اصطناع"
"ıstırab","اضطراب"
"ışk","عشق"
"ışka","عشقه"
"ıtk","عتق"
"ıtknâme","عتق نامه"
"ıtlak","اطلاق"
"ıtnâb","اطناب"
"ıtr","عطر"
"ıtrî","عطری"
"ıtriyyât","عطریات"
"ıttılâ'","اطلاع"
"ıttılâât","اطلاعات"
"ıttırâd","اطراد"
"ıyâdet","عيادت"
"ıyâl","عيال"
"ız'âf","اضعاف"
"ızdırap","اضطراب"
"ızrâr","اضرار"
"ıztırâb","اضطراب"
"ıztırâbâver","اضطراب آور"
"ıztırâr","اضطرار"
"ıztırârî","اضطراری"
"iâde","اعاده"
"iâdeten","اعادة"
"iânât","اعانات"
"iâne","اعانه"
"iâşe","اعاشه"
"iba","ابا"
"ibâ'","اباء"
"ibâd","عباد"
"ib'âd","ابعاد"
"ibâdât","عبادات"
"ibâdet","عبادت"
"ibadetgâh","عبادتگاه"
"ibâdethâne","عبادت خانه"
"ibâdullah","عبادالله"
"ibâhat","اباحت"
"ibâhî","اباحی"
"ibârât","عبارات"
"ibâre","عباره"
"ibâret","عبارت"
"ibâte","اباته"
"ibda","ابداع"
"ibdâ'","ابداع"
"ibdâ'kâr","ابداعکار"
"ibham","ابهام"
"ibhâm","ابهام"
"ibhâmât","ابهامات"
"ibka","ابقا"
"ibkâ","ابقا"
"ibkâen","ابقاء"
"ibl","ابل"
"iblağ","ابلاغ"
"iblâğ","ابلاغ"
"iblik","ايبلق"
"iblis","ابليس"
"iblîs","ابليس"
"iblîsâne","ابليسانه"
"ibn","ابن"
"ibnet","ابنة"
"ibra","ابرا"
"ibrâ'","ابراء"
"ibram","ابرام"
"ibrâm","ابرام"
"ibrânâme","ابرانامه"
"ibraz","ابراز"
"ibrâz","ابراز"
"ibre","ابره"
"ibret","عبرت"
"ibretâmîz","عبرت آميز"
"ibretbahş","عبرت بخش"
"ibreten","عبرة"
"ibrik","ابريق"
"ibrîk","ابریق"
"ibtâl","ابطال"
"ibtidâ","ابتدا"
"ibtidâ'î","ابتدائی"
"ibtidâr","ابتدار"
"ibtihâc","ابتهاج"
"ibtika","ابتكاء"
"ibtika'","ابتقاع"
"ibtilâ","ابتلا"
"ibtinâ","ابتنا"
"ibtinâ'en","ابتناء"
"ibzâr","ابزار"
"îcâb","ایجاب"
"îcâbât","ایجابات"
"icabet","اجابت"
"icâbet","اجابت"
"icabet etmek","اجابت ايتمك"
"îcâd","ایجاد"
"icale","اجاله"
"icâleten","عجالة"
"îcâr","ایجار"
"icare","اجاره"
"icâre","اجاره"
"icarei muacele","اجارهءمعجله"
"icarei muecele","اجارهءمؤجله"
"i'câz","اعجاز"
"îcâz","ایجاز"
"icazet","اجازت"
"icâzet","اجازت"
"icâzetnâme","اجازت نامه"
"icbar","اجبار"
"icbâr","اجبار"
"icbar etmek","اجبار ايتمك"
"iclâl","اجلال"
"icmâ'","اجماع"
"icmâl","اجمال"
"icmâlen","اجمالا"
"icmâlî","اجمالی"
"icrâ","اجرا"
"icrâât","اجراآت"
"ictiba","اجتبا"
"ictihâd","اجتهاد"
"ictimâ'","اجتماع"
"ictimâât","اجتماعات"
"ictimâî","اجتماعی"
"ictimâiyyât","اجتماعيات"
"ictimâiyyûn","اجتماعيون"
"ictinab","اجتناب"
"ictinâb","اجتناب"
"ictinab etmek","اجتناب ايتمك"
"ictira","اجترا"
"ictira etmek","اجترا ايتمك"
"ictisâr","اجتسار"
"içtihat","اجتهاد"
"içtima","اجتماع"
"îd","عيد"
"i'dâdî","اعدادی"
"i'dâm","اعدام"
"idâme","ادامه"
"idâre","اداره"
"idârehâne","اداره خانه"
"idârî","اداری"
"idbâr","ادبار"
"iddiâ","ادعا"
"idhâl","ادخال"
"idhâlât","ادخالات"
"îdiyye","عيدیه"
"idmân","ادمان"
"idrâk","ادراک"
"idrâr","ادرار"
"îfâ","ایفا"
"ifâdât","افادات"
"ifâde","افاده"
"ifâkat","افاقت"
"ifâze","افاضه"
"iffet","عفت"
"ifhâm","افهام"
"iflâh","افلاح"
"iflâs","افلاس"
"ifnâ","افنا"
"ifrâğ","افراغ"
"ifrât","افراط"
"ifrâtkâr","افراطکار"
"ifratperestî","افراط پرستی"
"ifrâz","افراز"
"ifrâzât","افراضات"
"ifrît","عفریت"
"ifsâd","افساد"
"ifşâ","افشا"
"ifşâât","افشاآت"
"iftâr","افطار"
"iftâriyye","افطاریه"
"iftihâr","افتخار"
"iftikâr","افتقار"
"iftirâ","افترا"
"iftirâk","افتراق"
"iftirâs","افتراس"
"iftitâh","افتتاح"
"iftizâh","افتضاح"
"iğbirâr","اغبرار"
"iğfâl","اغفال"
"iğlâk","اغلاق"
"iğlât","اغلاط"
"iğmâz","اغماض"
"iğnâ","اغنا"
"iğrâk","اغراق"
"iğtinâm","اغتنام"
"iğtişâş","اغتشاش"
"iğtişâşât","اغتشاشات"
"iğvâ","اغوا"
"ihâle","احاله"
"îhâm","ایهام"
"ihânet","اهانت"
"ihâta","احاطه"
"ihbâr","اخبار"
"ihbârnâme","اخبارنامه"
"ihdâ","اهدا"
"ihdâs","احداث"
"ihfâ","اخفا"
"ihfâf","اخفاف"
"ihkâk","احقاق"
"ihlâ","اخلا"
"ihlâk","اهلاک"
"ihlâl","اخلال"
"ihlâs","اخلاص"
"ihmâl","اهمال"
"ihmâlkâr","اهمالکار"
"ihrâc","اخراج"
"ihrâcât","اخراجات"
"ihrâk","احراق"
"ihrâm","احرام"
"ihrâz","احراز"
"ihsâ","احصا"
"ihsâî","احصائی"
"ihsâiyyât","احصائيات"
"ihsâiyye","احصائيه"
"ihsân","احسان"
"ihsâs","احساس"
"ihtâr","اخطار"
"ihticâc","احتجاج"
"ihtidâ","اهتدا"
"ihtifâ","اختفا"
"ihtifâl","احتفال"
"ihtikâr","احتکار"
"ihtilâc","اختلاج"
"ihtilâf","اختلاف"
"ihtilâfat","اختلافات"
"ihtilâl","اختلال"
"ihtilâlat","اختلالات"
"ihtilâm","احتلام"
"ihtilâs","اختلاس"
"ihtilât","اختلاط"
"ihtimâl","احتمال"
"ihtimal ki","احتمال که"
"ihtimâlât","احتمالات"
"ihtimâm","اهتمام"
"ihtinâk","اختناق"
"ihtirâ","اختراع"
"ihtirâat","اختراعات"
"ihtirak","احتراق"
"ihtirâm","احترام"
"ihtirâmen","احتراما"
"ihtirâs","احتراص"
"ihtirâz","احتراز"
"ihtisâr","اختصار"
"ihtisâren","اختصارا"
"ihtisâs","اختصاص"
"ihtişâm","احتشام"
"ihtitâm","اختتام"
"ihtivâ","احتوا"
"ihtiyâc","احتياج"
"ihtiyâcât","احتياجات"
"ihtiyâl","احتيال"
"ihtiyâr","اختيار"
"ihtiyârî","اختياری"
"ihtiyât","احتياط"
"ihtiyâten","احتياطا"
"ihtiyatkâr","احتياط کار"
"ihtizâr","احتضار"
"ihtizâz","اهتزاز"
"ihvân","اخوان"
"ihyâ","احيا"
"ihzâr","احضار"
"ihzârî","احضاری"
"îkâ","ایقا"
"ikâb","عقاب"
"ik'âd","اقعاد"
"ikâl","عقال"
"ikâme","اقامه"
"ikâmet","اقامت"
"ikâmetgah","اقامتگاه"
"îkâz","ایقاظ"
"ikbâl","اقبال"
"ikdâm","اقدام"
"iklîm","اقليم"
"ikmâl","اکمال"
"iknâ","اقناع"
"ikrâh","اکراه"
"ikrâhen","اکراها"
"ikrâm","اکرام"
"ikrâmiyye","اکراميه"
"ikrâr","اقرار"
"ikrâz","اقراض"
"iksîr","اکثير"
"iktibâs","اقتباس"
"iktibâsât","اقتباسات"
"iktidâ","اقتدا"
"iktidâr","اقتدار"
"iktifâ","اکتفا"
"iktihâl","اکتحال"
"iktirâh","اقتراه"
"iktirân","اقتران"
"iktisâ","اکتسا"
"iktisâb","اکتساب"
"iktisâd","اقتصاد"
"iktisâdî","اقتصادی"
"iktisâdiyyât","اقتصادیات"
"iktisâdiyyûn","اقتصادیون"
"iktisâr","اقتصار"
"iktitâf","اقتطاف"
"iktiza","اقتضا"
"iktizâ","اقتضا"
"ilâ","الی"
"i'lâ","اعلا"
"ilâc","علاج"
"ilâcnâpezîr","علاج ناپذیر"
"ilâhe","الهه"
"ilâhiyyât","الهيات"
"i'lâm","اعلام"
"i'lân","اعلان"
"ilânihâye","الی نهایه"
"ilâvât","علاوات"
"ilâve","علاوه"
"ilâveten","علاوة"
"ilel","علل"
"ilelebed","الی الابد"
"ilelebet","الى‌الابد"
"ilgâ","الغا"
"ilhâd","الحاد"
"ilhâk","الحاق"
"ilhâm","الهام"
"ilhâmât","الهامات"
"ilim","علم"
"ilkâ","القا"
"ilkâh","القاح"
"illâ","الا"
"illet","علت"
"illî","علی"
"illiyyet","عليت"
"ilm","علم"
"ilmî","علمی"
"ilmiyye","علميه"
"ilsâk","الصاق"
"iltibâs","التباس"
"ilticâ","التجا"
"ilticâgâh","التجاگاه"
"iltifat","التفات"
"iltihâb","التهاب"
"iltihak","التحاق"
"iltihâm","التهام"
"iltikâm","التقام"
"iltimâs","التماس"
"iltisâk","التصاق"
"iltiyâm","التيام"
"iltizâm","التزام"
"iltizâz","التذاذ"
"ilzâm","الزام"
"îmâ","ایما"
"imâd","عماد"
"i'mâl","اعمال"
"imâle","اماله"
"imâm","امام"
"îmân","ایمان"
"i'mâr","اعمار"
"imâret","عمارت"
"imdâd","امداد"
"imhâ","امحا"
"imkân","امکان"
"imrâr","امرار"
"imsâk","امساک"
"imsâkiyye","امساکيه"
"imtihân","امتحان"
"imtinâ","امتناع"
"imtisâl","امتثال"
"imtiyâz","امتياز"
"imtizâc","امتزاج"
"în","این"
"inâd","عناد"
"in'âm","انعام"
"inân","عنان"
"inâre","اناره"
"inâyât","عنایات"
"inâyet","عنایت"
"inbisât","انبساط"
"incizâb","انجذاب"
"ind","عند"
"indî","عندی"
"indifâ","اندفاع"
"ineb","عنب"
"infâk","انفاق"
"infâz","انفاذ"
"infiâl","انفعال"
"infihâm","انفهام"
"infilâk","انفلاق"
"infirâd","انفراد"
"infisâd","انفساد"
"infisâl","انفصال"
"inhibât","انهباط"
"inhidâm","انهدام"
"inhilâl","انحلال"
"inhimâk","انهماک"
"inhinâ","انحنا"
"inhirâf","انحراف"
"inhisâf","انخساف"
"inhisâr","انحصار"
"inhitat","انحطاط"
"inhizâm","انهزام"
"in'ikâd","انعقاد"
"in'itâf","انعطاف"
"in'izâl","انعزال"
"inkâr","انکار"
"inkılâb","انقلاب"
"inkıtâ","انقطاع"
"inkıyâd","انقياد"
"inkızâ","انقضا"
"inkibâz","انقباض"
"inkirâz","انقراض"
"inkisâm","انقسام"
"inkisâr","انکسار"
"inkişâf","انکشاف"
"insâf","انصاف"
"insânî","انسانی"
"insaniyu'l-merkez","انسانی المرکز"
"insâniyyet","انسانيت"
"insicâm","انسجام"
"insidâd","انسداد"
"insikâb","انسقاب"
"insiyâk","انسياق"
"insiyâkî","انسياقی"
"insücin","انس و جن"
"inşâ","انشا"
"inşiâb","انشعاب"
"inşikâk","انشقاق"
"inşirâh","انشراح"
"intâc","انتاج"
"intâk","انطاق"
"intânî","انتانی"
"intibâ","انطباع"
"intibâh","انتباه"
"intibâk","انطباق"
"intifâ","انطفا"
"intifâ'","انتفاع"
"intihâ","انتها"
"intihâb","انتخاب"
"intihâbât","انتخابات"
"intihâl","انتحال"
"intihâr","انتحار"
"intihaz","انتهاز"
"intikâd","انتقاد"
"intikâl","انتقال"
"intikâm","انتقام"
"intikâmcû","انتقام جو"
"intikaş","انتقاش"
"intisâb","انتساب"
"intişâr","انتشار"
"intizâ'","انتزاع"
"intizâm","انتظام"
"intizamperver","انتظام پرور"
"intizâr","انتظار"
"inzâl","انزال"
"inzibât","انضباط"
"inzimâm","انضمام"
"inzivâ","انزوا"
"inzivagâh","انزواگاه"
"iplik","اپلك"
"iprenmek","اپرنمك"
"ipretmek","اپرتمك"
"iptida","ابتدا"
"iptidar","ابتدار"
"iptihaç","ابتهاج"
"iptila","ابتلا"
"iptisam","ابتسام"
"îrâd","ایراد"
"irâde","اراده"
"irâdet","ارادت"
"irâ'e","ارائه"
"îrânî","ایرانی"
"i'râz","اعراض"
"ircâ'","ارجاع"
"irfân","عرفان"
"irfanperver","عرفان پرور"
"irs","ارث"
"irsâl","ارسال"
"irsen","ارثا"
"irsî","ارثی"
"irsiyyet","ارثيت"
"irşâd","ارشاد"
"irtiâş","ارتعاش"
"irtibât","ارتباط"
"irticâ","ارتجاع"
"irticakâr","ارتجاعکار"
"irticâlen","ارتجالا"
"irtidâd","ارتداد"
"irtifâ","ارتفاع"
"irtihâl","ارتحال"
"irtikâ","ارتقا"
"irtikâb","ارتکاب"
"irtişâ","ارتشا"
"irtizâk","ارتزاق"
"irzâ","ارضا"
"irzâ'","ارضاع"
"isâbet","اصابت"
"is'âd","اصعاد"
"isâet","اسائت"
"îsâl","ایصال"
"isâle","اساله"
"is'âr","اسعار"
"isbât","اثبات"
"îsevî","عيسوی"
"îseviyyet","عيسویت"
"isfenc","اسفنج"
"ishâl","اسهال"
"iskân","اسکان"
"iskat","اسقاط"
"iskât","اسکات"
"islâm","اسلام"
"islâmiyyet","اسلاميت"
"ismet","عصمت"
"isnâ'aşer","اثنی عشر"
"isnâd","اسناد"
"isneyn","اثنين"
"ispat","اثبات"
"isrâf","اسراف"
"issare","اثاره"
"İstanbul","استانبول"
"istî'âb","استيعاب"
"istiâne","استعانه"
"istib'âd","استبعاد"
"istibdâd","استبداد"
"istibdâdkâr","استبدادکار"
"isticâbet","استجابت"
"isti'câl","استعجال"
"istid'â","استدعا"
"istîdâd","استعداد"
"istid'ânâme","استدعانامه"
"istidlâl","استدلال"
"isti'fâ","استعفا"
"istifâdebahş","استفاده بخش"
"istifhâm","استفهام"
"istifrâğ","استفراغ"
"istigâse","استغاثه"
"istiğnâ","استغنا"
"istiğrâk","استغراق"
"istihâle","استحاله"
"istihâre","استخاره"
"istihâse","استحاثه"
"istihbâr","استخبار"
"istihbârât","استخبارات"
"istihdâf","استهداف"
"istihdâm","استخدام"
"istihfâf","استخفاف"
"istihfâfkâr","استخفافکار"
"istihkak","استحقاق"
"istihkâm","استحکام"
"istihkâr","استحقار"
"istihlâk","استهلاک"
"istihmâm","استحمام"
"istihrâc","استخراج"
"istihsâl","استحصال"
"istihsân","استحسان"
"istihyâ","استحيا"
"istihzâ","استهزا"
"istihzâr","استحضار"
"isti'kâf","اسعکاف"
"istikâmet","استقامت"
"istikbâh","استقباح"
"istikbâl","استقبال"
"istikbâr","استکبار"
"istikfâf","استکفاف"
"istiklâl","استقلال"
"istikmâl","استکمال"
"istikrâh","استکراه"
"istikrâr","استقرار"
"istikrâz","استقراض"
"istikşâf","استکشاف"
"istîlâ","استيلا"
"isti'lâm","استعلام"
"istilzâm","استلزام"
"istimâ'","استماع"
"isti'mâl","استعمال"
"istimdâd","استمداد"
"istimhâl","استمهال"
"istimlâk","استملاک"
"istimnâ'","استمناء"
"istimrâr","استمرار"
"istinâd","استناد"
"istinâden","استنادا"
"istinadgâh","استنادگاه"
"istînâf","استيناف"
"istinbât","استنباط"
"istinkâf","استنکاف"
"istinşâk","استنشاق"
"istintâk","استنطاق"
"istirâhat","استراحت"
"istirdâd","استرداد"
"istirhâm","استرحام"
"istirhamkâr","استرحامکار"
"istiskâ","استسقا"
"istiskâl","استثقال"
"istisnâ","استثنا"
"istisnâ'î","استثنائی"
"istişâre","استشاره"
"istişhâd","استشهاد"
"istitâat","استطاعت"
"istitâr","استتار"
"istitrâden","استطرادا"
"istivâ","استوا"
"istiz'âf","استضعاف"
"istîzâh","استيضاح"
"istîzân","استيذان"
"isyân","عصيان"
"îş","عيش"
"işâa","اشاعه"
